Symbol
FEDERALBNK
FEDFINA
FINCABLES
FINOPB
FINPIPE
FIRSTCRY
FIVESTAR
FORTIS
FSL
FUSION
GAEL
GAIL
GALLANTT
GARUDA
GENUSPOWER
GEPIL
GESHIP
GHCL
GICRE
GILLANDERS
GLENMARK
GMDCLTD
GMMPFAUDLR
GMRP&UI
GNFC
GODIGIT
GODREJCP
GODREJIND
GODREJPROP
GOKULAGRO
GOLDIAM
GPIL
GPPL
GRANULES
GRAPHITE
GRASIM
GRAVITA
GREAVESCOT
GRMOVER
GRSE
GSFC
GSPL
GTPL
GUJGASLTD
HAL
HAPPSTMNDS
HAVELLS
HBLENGINE
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HEG
HEMIPROP
HEROMOTOCO
HEXT
HIMATSEIDE
HINDALCO
HINDCOPPER
HINDOILEXP
HINDPETRO
HINDUNILVR
HINDZINC
HOMEFIRST
HONASA
HSCL
HUBTOWN
HUDCO
HYUNDAI
ICICIBANK
ICICIGI
ICICIPRULI
IDEAFORGE
IEX
IGIL
IGL
IIFL
IIFLCAPS
IITL
IKS
INDGN
INDHOTEL
INDIACEM
INDIANB
INDSWFTLAB
INDUSINDBK
INDUSTOWER
INFY
INOXGREEN
INOXWIND
INTELLECT
IOC
IONEXCHANG
IPCALAB
IPL
IRCON
IRCTC
IREDA
IRFC
ITC
ITCHOTELS
ITDCEM
ITI
IXIGO
J&KBANK
JAIBALAJI
JAICORPLTD
JBCHEPHARM
JBMA
JINDALSAW
JINDALSTEL
JIOFIN
JKTYRE
JLHL
JMFINANCIL
JSL
JSWENERGY
JSWINFRA
JSWSTEEL
JUBLFOOD
JUBLINGREA
JUBLPHARMA
JWL
JYOTHYLAB
JYOTICNC
KALYANKJIL
KARURVYSYA
KEC
KELLTONTEC
KFINTECH
KIMS
KNRCON
KOTAKBANK
KPIGREEN
KPITTECH
KPRMILL
KRBL
KRN
KTKBANK
LAURUSLABS
LEMONTREE
LICHSGFIN
LICI
LLOYDSME
LODHA
LT
LTF
LTFOODS
LUPIN
LXCHEM
M&M
M&MFIN
MAHLIFE
MANAPPURAM
MANGCHEFER
MANINFRA
MANKIND
MARATHON
MARICO
MARKSANS
MAXHEALTH
MAZDOCK
MBAPL
MEDANTA
METROBRAND
MFSL
MIDHANI
MINDACORP
MOBIKWIK
MOIL
MOSCHIP
MOTHERSON
MOTILALOFS
MPHASIS
MRPL
MUTHOOTFIN
NAM-INDIA
NATCOPHARM
NATIONALUM
NAUKRI
NAVA
NAZARA
NBCC
NCC
NESTLEIND
NEWGEN
NH
NIACL
NIITLTD
NIITMTS
NLCINDIA
NOCIL
NORTHARC
NRBBEARING
NTPC
NTPCGREEN
NUVOCO
NYKAA
OBEROIRLTY
OIL
OMAXE
ONESOURCE
ONGC
OPTIEMUS
ORIENTCEM
ORIENTELEC
OSWALPUMPS
PARADEEP
PARAGMILK
PARAS
PARKHOTELS
PATANJALI
PAYTM
PCBL
PEL
PENIND
PETRONET
PFC
PFOCUS
PGEL
PHOENIXLTD
PIDILITIND
PIIND
PNB
PNBHOUSING
PNCINFRA
POLICYBZR
POLYMED
POLYPLEX
POONAWALLA
POWERGRID
PPLPHARMA
PRAJIND
PRAKASH
PRECAM
PREMEXPLN
PREMIERENE
PRESTIGE
PRINCEPIPE
PROSTARM
PROTEAN
PRSMJOHNSN
PTC
PURVA
QPOWER
QUADFUTURE
QUESS
RADICO
RAILTEL
RAIN
RAJESHEXPO
RALLIS
RAMCOCEM
RBLBANK
RCF
RECLTD
REDINGTON
RELIANCE
RELINFRA
REPCOHOME
RGL
RHIM
RITES
RKFORGE
ROUTE
RVNL
SAGCEM
SAIL
SAILIFE
SAMHI
SAMMAANCAP
SANDHAR
SANGHVIMOV
SAPPHIRE
SARDAEN
SAREGAMA
SBFC
SBICARD
SBILIFE
SBIN
SCI
SCODATUBES
SDBL
SEQUENT
SERVOTECH
SHAKTIPUMP
SHAREINDIA
SHRIRAMFIN
SIEMENS
SIGNATURE
SKIPPER
SKYGOLD
SMCGLOBAL
SOBHA
SOLARA
SONACOMS
SONATSOFTW
SPARC
SPMLINFRA
SRF
SSWL
STAR
STARHEALTH
STERTOOLS
STLTECH
SUBROS
SUDARSCHEM
SUMICHEM
SUNFLAG
SUNPHARMA
SUNTV
SUPRAJIT
SUPREMEIND
SURYAROSNI
SWANENERGY
SWIGGY
SWSOLAR
SYNGENE
SYRMA
TAJGVK
TANLA
TARC
TARIL
TATACHEM
TATACONSUM
TATAMOTORS
TATAPOWER
TATASTEEL
TATATECH
TCS
TDPOWERSYS
TECHM
TEJASNET
TEXRAIL
TFCILTD
THELEELA
THERMAX
THOMASCOOK
TI
TIINDIA
TIMETECHNO
TIRUMALCHM
TITAGARH
TITAN
TORNTPHARM
TORNTPOWER
TOUCHWOOD
TRANSRAILL
TRITURBINE
TRIVENI
TVSMOTOR
TVSSCS
UGROCAP
UNIONBANK
UNITDSPR
UNOMINDA
UPL
USHAMART
UTIAMC
VBL
VEDL
VINCOFE
VIPIND
VMM
VOLTAS
WAAREEENER
WABAG
WCIL
WEBELSOLAR
WELCORP
WELSPUNLIV
WESTLIFE
WHIRLPOOL
WIPRO
WOCKPHARMA
ZAGGLE
ZEEL
ZENSARTECH
ZENTEC
ZYDUSLIFE
